"","V1","V2","V3","V4"
"1",2,267,245,1
"2",2,546,248,1
"3",3,271,568,1
"4",3,276,565,1
"5",3,268,284,1
"6",3,545,281,1
"7",3,276,284,2
"8",3,268,568,2
"9",3,271,281,2
"10",3,545,565,2
"11",3,276,281,3
"12",3,268,565,3
"13",3,271,284,3
"14",3,545,568,3
"15",4,562,279,1
"16",4,277,563,1
"17",4,288,283,1
"18",4,282,285,1
"19",4,277,283,2
"20",4,288,279,2
"21",4,562,285,2
"22",4,282,563,2
"23",4,277,285,3
"24",4,288,563,3
"25",4,562,283,3
"26",4,282,279,3
"27",5,292,287,1
"28",5,286,290,1
"29",5,569,287,2
"30",5,292,572,2
"31",5,569,290,3
"32",5,286,572,3
"33",6,578,293,1
"34",6,295,579,1
"35",6,100,291,1
"36",6,103,289,1
"37",6,295,291,2
"38",6,100,293,2
"39",6,578,289,2
"40",6,103,579,2
"41",6,295,289,3
"42",6,100,579,3
"43",6,578,291,3
"44",6,103,293,3
"45",7,310,99,1
"46",7,311,104,1
"47",7,306,99,2
"48",7,310,307,2
"49",7,306,104,3
"50",7,311,307,3
"51",8,316,309,1
"52",8,313,312,1
"53",8,584,312,2
"54",8,313,581,2
"55",8,316,581,3
"56",8,584,309,3
"57",9,590,301,1
"58",9,304,591,1
"59",9,322,315,1
"60",9,314,323,1
"61",9,304,315,2
"62",9,322,301,2
"63",9,590,323,2
"64",9,314,591,2
"65",9,304,323,3
"66",9,322,591,3
"67",9,590,315,3
"68",9,314,301,3
"69",10,318,321,1
"70",10,319,324,1
"71",10,588,321,2
"72",10,318,585,2
"73",10,588,324,3
"74",10,319,585,3
"75",11,328,331,1
"76",11,334,329,1
"77",11,317,344,1
"78",11,320,345,1
"79",11,334,344,2
"80",11,317,331,2
"81",11,328,345,2
"82",11,320,329,2
"83",11,334,345,3
"84",11,317,329,3
"85",11,328,344,3
"86",11,320,331,3
"87",12,362,233,1
"88",12,359,236,1
"89",12,352,343,1
"90",12,353,346,1
"91",12,359,343,2
"92",12,352,233,2
"93",12,362,346,2
"94",12,353,236,2
"95",12,359,346,3
"96",12,352,236,3
"97",12,362,343,3
"98",12,353,233,3
"99",13,358,603,1
"100",13,355,606,1
"101",13,351,348,1
"102",13,354,349,1
"103",13,355,348,2
"104",13,351,603,2
"105",13,358,349,2
"106",13,354,606,2
"107",13,355,349,3
"108",13,351,606,3
"109",13,358,348,3
"110",13,354,603,3
"111",14,222,217,1
"112",14,219,216,1
"113",14,219,347,2
"114",14,350,216,2
"115",14,222,347,3
"116",14,350,217,3
"117",15,221,156,1
"118",15,220,159,1
"119",15,220,609,2
"120",15,608,159,2
"121",15,221,609,3
"122",15,608,156,3
"123",16,357,612,1
"124",16,356,613,1
"125",16,610,612,2
"126",16,357,607,2
"127",16,356,607,3
"128",16,610,613,3
"129",17,616,611,1
"130",17,614,617,1
"131",17,361,620,1
"132",17,360,621,1
"133",17,614,620,2
"134",17,361,611,2
"135",17,616,621,2
"136",17,360,617,2
"137",17,614,621,3
"138",17,361,617,3
"139",17,616,620,3
"140",17,360,611,3
"141",18,164,155,1
"142",18,167,160,1
"143",18,501,72,1
"144",18,504,69,1
"145",18,167,72,2
"146",18,501,155,2
"147",18,164,69,2
"148",18,504,160,2
"149",18,167,69,3
"150",18,501,160,3
"151",18,164,72,3
"152",18,504,155,3
"153",19,619,508,1
"154",19,622,505,1
"155",19,510,625,1
"156",19,511,624,1
"157",19,622,625,2
"158",19,510,508,2
"159",19,619,624,2
"160",19,511,505,2
"161",19,622,624,3
"162",19,510,505,3
"163",19,619,625,3
"164",19,511,508,3
"165",20,12,615,1
"166",20,618,13,1
"167",20,9,626,1
"168",20,8,623,1
"169",20,618,626,2
"170",20,9,615,2
"171",20,12,623,2
"172",20,8,13,2
"173",20,618,623,3
"174",20,9,13,3
"175",20,12,626,3
"176",20,8,615,3
"177",21,327,432,1
"178",21,330,429,1
"179",21,10,409,1
"180",21,412,7,1
"181",21,330,409,2
"182",21,10,432,2
"183",21,327,7,2
"184",21,412,429,2
"185",21,330,7,3
"186",21,10,429,3
"187",21,327,409,3
"188",21,412,432,3
"189",22,395,410,1
"190",22,400,411,1
"191",22,416,411,2
"192",22,400,413,2
"193",22,395,413,3
"194",22,416,410,3
"195",23,408,589,1
"196",23,592,403,1
"197",23,396,363,1
"198",23,368,399,1
"199",23,592,363,2
"200",23,396,589,2
"201",23,408,399,2
"202",23,368,403,2
"203",23,592,399,3
"204",23,396,403,3
"205",23,408,363,3
"206",23,368,589,3
"207",24,364,371,1
"208",24,367,376,1
"209",24,582,371,2
"210",24,364,583,2
"211",24,582,376,3
"212",24,367,583,3
"213",25,379,372,1
"214",25,385,375,1
"215",25,580,372,2
"216",25,379,577,2
"217",25,580,375,3
"218",25,385,577,3
"219",26,628,561,1
"220",26,564,1,1
"221",26,380,249,1
"222",26,383,252,1
"223",26,564,249,2
"224",26,380,561,2
"225",26,628,252,2
"226",26,383,1,2
"227",26,564,252,3
"228",26,380,1,3
"229",26,628,249,3
"230",26,383,561,3
"231",27,436,431,1
"232",27,433,430,1
"233",27,14,427,1
"234",27,11,426,1
"235",27,433,427,2
"236",27,14,431,2
"237",27,436,426,2
"238",27,11,430,2
"239",27,433,426,3
"240",27,14,430,3
"241",27,436,427,3
"242",27,11,431,3
"243",28,415,420,1
"244",28,414,417,1
"245",28,428,423,1
"246",28,425,422,1
"247",28,414,423,2
"248",28,428,420,2
"249",28,415,422,2
"250",28,425,417,2
"251",28,414,422,3
"252",28,428,417,3
"253",28,415,423,3
"254",28,425,420,3
"255",29,599,52,1
"256",29,602,49,1
"257",29,54,165,1
"258",29,639,55,1
"259",29,602,165,2
"260",29,54,52,2
"261",29,599,55,2
"262",29,639,49,2
"263",29,602,55,3
"264",29,54,49,3
"265",29,599,165,3
