ID,Lane,Length,Netin,Netout,Loc,Dir,S_in,L_in,R_in,S_out,L_out,R_out,x0,y0,x1,y1
C12400166003,2,70,True,True,0,0,C12400166002,0,0,C12400166004,0,0,212681.357011,549800.109902,212691.028067,549869.432953
C12400166004,2,70,True,True,0,0,C12400166003,0,0,C12400166005,0,0,212691.028067,549869.432953,212700.699122,549938.756004
C12400166005,2,70,True,True,0,0,C12400166004,0,0,C12400166006,0,0,212700.699122,549938.756004,212710.370178,550008.079055
C12400166006,2,70,True,True,0,0,C12400166005,0,0,C12400166007,0,0,212710.370178,550008.079055,212720.041233,550077.402107
C12400166007,2,70,True,True,0,0,C12400166006,0,0,0,0,0,212720.041233,550077.402107,212731.3082,550158.1648
C12400146001,1,70,True,True,1,2,0,C124001240010,C12400153004,C12400146002,C124001240010,0,213782.5325,549652.8107,213713.165435,549662.070979
C12400146002,1,70,True,True,0,0,C12400146001,0,0,C12400146003,0,0,213713.165435,549662.070979,213643.798371,549671.331258
C12400146003,1,70,True,True,0,0,C12400146002,0,0,C12400146004,0,0,213643.798371,549671.331258,213574.431306,549680.591537
C12400146004,1,70,True,True,3,1,C12400146003,0,0,C12400150021,0,C12400158001,213574.431306,549680.591537,213478.8877,549693.3463
C12400145001,1,70,True,True,3,2,C12400149014,C12400157004,0,C12400145002,C12400157004,0,213477.7813,549681.3974,213547.14816,549672.135469
C12400145002,1,70,True,True,0,0,C12400145001,0,0,C12400145003,0,0,213547.14816,549672.135469,213616.515021,549662.873538
C12400145003,1,70,True,True,0,0,C12400145002,0,0,C12400145004,0,0,213616.515021,549662.873538,213685.881881,549653.611606
C12400145004,1,70,True,True,1,1,C12400145003,0,0,0,0,C12400123001,213685.881881,549653.611606,213781.1868,549640.8864
C12400150021,1,70,True,True,1,2,C12400146004,0,C12400157004,C12400150022,0,0,213478.7256,549693.3591,213408.96094,549695.641189
C12400150022,1,70,True,True,0,0,C12400150021,0,0,C12400150023,0,0,213408.96094,549695.641189,213339.196279,549697.923277
C12400150023,1,70,True,True,0,0,C12400150022,0,0,C12400150024,0,0,213339.196279,549697.923277,213269.431619,549700.205366
C12400150024,1,70,True,True,4,1,C12400150023,0,0,C12400147001,0,C12400160021,213269.431619,549700.205366,213149.7714,549704.1196
C12400149011,1,70,True,True,4,2,C12400148007,C12400159003,C12400128019,C12400149012,C12400159003,0,213151.832,549692.2979,213221.598081,549689.963181
