,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65
0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0,27.0,28.0,29.0,30.0,31.0,32.0,33.0,34.0,35.0,36.0,37.0,38.0,39.0,40.0,41.0,42.0,43.0,44.0,45.0,46.0,47.0,48.0,49.0,50.0,51.0,52.0,53.0,54.0,55.0,56.0,57.0,58.0,59.0,60.0,61.0,62.0,651.0,652.0,653.0,654.0,655.0
1,210153.0,210735.0,210843.0,210968.16666666666,211225.75,211474.0,211587.0,211651.75,211838.0,212077.25,212547.0,212793.25,213026.33333333334,213092.33333333334,212664.16666666666,212635.5,213467.25,212842.125,212436.0,212247.5,212063.0,211868.5,211809.5,211388.66666666666,211182.875,212282.0,212109.375,210989.25,211297.0,211934.75,211983.5,212991.625,212481.5,212159.5,212347.0,212278.5,211727.375,211367.0,211123.0,211199.5,211323.83333333334,211267.5,211456.5,211896.0,212655.625,213150.0,213477.66666666666,213781.33333333334,213547.0,210774.0,210865.66666666666,210951.0,211020.5,211309.83333333334,212509.0,212612.5,212882.0,212983.5,212481.5,212944.5,212134.16666666666,210858.0,210893.0,210968.5,210919.5,210907.25
2,548388.5,548178.5,548140.625,548095.5,548004.875,547920.0,547880.6666666666,547857.75,547793.0,547709.0,547546.625,547461.5,547385.0,547587.5,547757.8333333334,547812.375,548753.0,548425.5,548256.25,548281.375,548351.1666666666,548427.25,548452.3333333334,548614.5,548698.5,548399.875,548502.0,549091.5,548992.5,548597.0,548724.8333333334,549026.125,549063.875,548672.5,548617.5,549075.8333333334,549452.25,549513.0,549558.375,549827.125,549796.1666666666,550076.5,549975.125,549740.625,549661.875,549697.875,549687.0,549646.3333333334,548988.0,549622.0,549922.8333333334,550247.5,550489.0,550221.5,549628.5,549517.5,548585.5,548494.5,547329.0,547132.6666666666,549065.6666666666,548823.5,548747.5,548777.5,548850.0,548801.5
