ID,x0,y0,x1,y1
1240040100,211188.786,548696.789,211303.4909,548993.1613
1240010600,211938.3879,548602.7903,211300.8954,548997.9008
1240010500,211294.0933,548988.0149,211932.1486,548592.5399
1240000202,212246.4368,548275.9609,212436.3068,548250.8817
1240000102,212436.4734,548262.8805,212249.5759,548287.5431
1240038000,212279.2611,548395.1735,212431.7266,548253.1059
1240038100,212441.0536,548260.6563,212285.5434,548405.3976
1240011902,212134.2156,549070.5909,211978.3657,548727.3846
1240012002,211989.5377,548723.0045,212140.9659,549060.6688
1240045000,211201.612,549833.327,210867.8793,549929.2369
1240044900,210864.6322,549917.6845,211198.1139,549821.8482
1240012100,211719.1511,549453.262,211294.7325,548998.2844
1240012200,211300.2563,548987.6313,211729.5704,549447.309
1240014300,211891.304,549744.1401,211719.207,549453.3578
1240014400,211729.5145,549447.2133,211901.6491,549738.059
1240015601,211198.3001,549821.7947,211323.9837,549790.652
1240015501,211324.9802,549802.6106,211201.4258,549833.3805
1240015502,211451.2909,549977.3445,211322.1184,549802.1462
1240015602,211326.8454,549791.1164,211462.786,549973.9001
1240012600,210995.6845,549090.1307,211129.4292,549557.2449
1240012500,211117.8964,549560.5606,210984.1467,549093.4291
1240011600,211298.7823,548998.818,210991.9101,549097.4387
1240011500,210987.9212,549086.1211,211296.2064,548987.0977
1240016100,211454.2149,549970.3282,211893.6493,549735.8075
1240016200,211899.3038,549746.3917,211459.862,549980.9164
1240018702,211462.8496,549974.1289,211311.9849,550227.6907
1240018802,211308.8008,550216.1208,211451.2273,549977.1157
1240040600,213470.6702,548748.3452,213986.2343,549013.3807
1240040700,214002.9281,549039.7885,213464.9271,548758.8816
1240010302,212986.3332,549028.0566,212876.5119,548587.2371
1240010403,212888.1597,548584.3512,212997.9696,549025.1251
1240015700,213482.9604,549972.643,213472.3386,549687.5953
1240015800,213484.3303,549687.1484,213494.9521,549972.1962
1240012801,212998.0442,549025.4617,213156.6662,549696.9408
1240012701,213144.9372,549699.4767,212986.2586,549027.72
1240008003,211476.4078,547926.0463,211232.5167,548009.7223
1240007903,211228.6225,547998.3717,211472.5136,547914.6958
1240013701,211893.8242,549735.7177,212510.8419,549623.1018
1240013801,212508.4574,549634.8625,211899.1289,549746.4815
1240018101,212490.1298,550159.0397,211891.2034,549743.9621
1240018201,211901.7496,549738.237,212492.7892,550147.3381
1240014800,212656.2995,549656.2493,213151.7996,549692.2923
1240014700,213149.8038,549704.1252,212655.8323,549668.2402
1240016500,212719.4656,550160.1017,212650.117,549663.0257
1240016600,212662.0149,549661.4638,212731.3082,550158.1648
1240014600,213782.5325,549652.8107,213478.8877,549693.3463
1240014500,213477.7813,549681.3974,213781.1868,549640.8864
1240015002,213478.7256,549693.3591,213149.7714,549704.1196
1240014901,213151.832,549692.2979,213477.9433,549681.3846
1240008302,213462.067,548755.3878,213087.03,547589.7974
1240008402,213098.4721,547586.181,213473.5303,548751.839
1240010902,213541.9256,548990.2,213462.0863,548755.4488
1240041900,210992.8403,549097.0188,209903.5168,549523.3694
1240011002,213473.511,548751.778,213553.2157,548986.134
