"","V1","V2","V3","V4"
"1",2,267,245,1
"2",2,248,546,1
"3",3,568,271,1
"4",3,276,565,1
"5",3,284,268,1
"6",3,545,281,1
"7",3,276,268,2
"8",3,284,271,2
"9",3,568,281,2
"10",3,545,565,2
"11",3,276,281,3
"12",3,284,565,3
"13",3,568,268,3
"14",3,545,271,3
"15",4,562,279,1
"16",4,277,563,1
"17",4,288,283,1
"18",4,282,285,1
"19",4,277,283,2
"20",4,288,279,2
"21",4,562,285,2
"22",4,282,563,2
"23",4,277,285,3
"24",4,288,563,3
"25",4,562,283,3
"26",4,282,279,3
"27",5,292,287,1
"28",5,286,290,1
"29",5,569,287,2
"30",5,292,572,2
"31",5,569,290,3
"32",5,286,572,3
"33",6,578,293,1
"34",6,295,579,1
"35",6,100,291,1
"36",6,289,103,1
"37",6,295,291,2
"38",6,100,293,2
"39",6,578,103,2
"40",6,289,579,2
"41",6,295,103,3
"42",6,100,579,3
"43",6,578,291,3
"44",6,289,293,3
"45",7,310,99,1
"46",7,104,311,1
"47",7,306,99,2
"48",7,310,307,2
"49",7,306,311,3
"50",7,104,307,3
"51",8,316,309,1
"52",8,312,313,1
"53",8,584,313,2
"54",8,312,581,2
"55",8,316,581,3
"56",8,584,309,3
"57",9,590,301,1
"58",9,304,591,1
"59",9,322,315,1
"60",9,314,323,1
"61",9,304,315,2
"62",9,322,301,2
"63",9,590,323,2
"64",9,314,591,2
"65",9,304,323,3
"66",9,322,591,3
"67",9,590,315,3
"68",9,314,301,3
"69",10,318,321,1
"70",10,324,319,1
"71",10,588,321,2
"72",10,318,585,2
"73",10,588,319,3
"74",10,324,585,3
"75",11,328,331,1
"76",11,334,329,1
"77",11,344,317,1
"78",11,320,345,1
"79",11,334,317,2
"80",11,344,331,2
"81",11,328,345,2
"82",11,320,329,2
"83",11,334,345,3
"84",11,344,329,3
"85",11,328,317,3
"86",11,320,331,3
"87",12,362,233,1
"88",12,236,359,1
"89",12,352,343,1
"90",12,346,353,1
"91",12,236,343,2
"92",12,352,233,2
"93",12,362,353,2
"94",12,346,359,2
"95",12,236,353,3
"96",12,352,359,3
"97",12,362,343,3
"98",12,346,233,3
"99",13,358,603,1
"100",13,606,355,1
"101",13,348,351,1
"102",13,354,349,1
"103",13,606,351,2
"104",13,348,603,2
"105",13,358,349,2
"106",13,354,355,2
"107",13,606,349,3
"108",13,348,355,3
"109",13,358,351,3
"110",13,354,603,3
"111",14,222,217,1
"112",14,216,219,1
"113",14,216,347,2
"114",14,350,219,2
"115",14,222,347,3
"116",14,350,217,3
"117",15,156,221,1
"118",15,220,159,1
"119",15,220,609,2
"120",15,608,159,2
"121",15,156,609,3
"122",15,608,221,3
"123",16,612,357,1
"124",16,356,613,1
"125",16,610,357,2
"126",16,612,607,2
"127",16,356,607,3
"128",16,610,613,3
"129",17,616,611,1
"130",17,614,617,1
"131",17,620,361,1
"132",17,360,621,1
"133",17,614,361,2
"134",17,620,611,2
"135",17,616,621,2
"136",17,360,617,2
"137",17,614,621,3
"138",17,620,617,3
"139",17,616,361,3
"140",17,360,611,3
"141",18,164,155,1
"142",18,160,167,1
"143",18,72,501,1
"144",18,504,69,1
"145",18,160,501,2
"146",18,72,155,2
"147",18,164,69,2
"148",18,504,167,2
"149",18,160,69,3
"150",18,72,167,3
"151",18,164,501,3
"152",18,504,155,3
"153",19,508,619,1
"154",19,622,505,1
"155",19,510,625,1
"156",19,624,511,1
"157",19,622,625,2
"158",19,510,619,2
"159",19,508,511,2
"160",19,624,505,2
"161",19,622,511,3
"162",19,510,505,3
"163",19,508,625,3
"164",19,624,619,3
"165",20,12,615,1
"166",20,618,13,1
"167",20,626,9,1
"168",20,8,623,1
"169",20,618,9,2
"170",20,626,615,2
"171",20,12,623,2
"172",20,8,13,2
"173",20,618,623,3
"174",20,626,13,3
"175",20,12,9,3
"176",20,8,615,3
"177",21,432,327,1
"178",21,330,429,1
"179",21,10,409,1
"180",21,412,7,1
"181",21,330,409,2
"182",21,10,327,2
"183",21,432,7,2
"184",21,412,429,2
"185",21,330,7,3
"186",21,10,429,3
"187",21,432,409,3
"188",21,412,327,3
"189",22,410,395,1
"190",22,400,411,1
"191",22,416,411,2
"192",22,400,413,2
"193",22,410,413,3
"194",22,416,395,3
"195",23,408,589,1
"196",23,592,403,1
"197",23,396,363,1
"198",23,368,399,1
"199",23,592,363,2
"200",23,396,589,2
"201",23,408,399,2
"202",23,368,403,2
"203",23,592,399,3
"204",23,396,403,3
"205",23,408,363,3
"206",23,368,589,3
"207",24,364,371,1
"208",24,376,367,1
"209",24,582,371,2
"210",24,364,583,2
"211",24,582,367,3
"212",24,376,583,3
"213",25,372,379,1
"214",25,384,375,1
"215",25,580,379,2
"216",25,372,577,2
"217",25,580,375,3
"218",25,384,577,3
"219",26,628,561,1
"220",26,564,1,1
"221",26,380,249,1
"222",26,252,383,1
"223",26,564,249,2
"224",26,380,561,2
"225",26,628,383,2
"226",26,252,1,2
"227",26,564,383,3
"228",26,380,1,3
"229",26,628,249,3
"230",26,252,561,3
"231",27,436,431,1
"232",27,430,433,1
"233",27,14,427,1
"234",27,426,11,1
"235",27,430,427,2
"236",27,14,431,2
"237",27,436,11,2
"238",27,426,433,2
"239",27,430,11,3
"240",27,14,433,3
"241",27,436,427,3
"242",27,426,431,3
"243",28,420,415,1
"244",28,414,417,1
"245",28,428,423,1
"246",28,422,425,1
"247",28,414,423,2
"248",28,428,415,2
"249",28,420,425,2
"250",28,422,417,2
"251",28,414,425,3
"252",28,428,417,3
"253",28,420,423,3
"254",28,422,415,3
"255",29,52,599,1
"256",29,602,49,1
"257",29,54,165,1
"258",29,639,55,1
"259",29,602,165,2
"260",29,54,599,2
"261",29,52,55,2
"262",29,639,49,2
"263",29,602,55,3
"264",29,54,49,3
"265",29,52,165,3
"266",29,639,599,3
"267",30,34,627,1
"268",30,2,35,1
"269",30,4,53,1
"270",30,56,5,1
"271",30,2,53,2
"272",30,4,627,2
"273",30,34,5,2
"274",30,56,35,2
"275",30,2,5,3
"276",30,4,35,3
"277",30,34,53,3
"278",30,56,627,3
"279",31,392,407,1
"280",31,404,387,1
"281",31,424,3,1
"282",31,6,421,1
"283",31,404,3,2
"284",31,424,407,2
"285",31,392,421,2
"286",31,6,387,2
"287",31,404,421,3
"288",31,424,387,3
"289",31,392,3,3
"290",31,6,407,3
"291",32,16,391,1
"292",32,388,17,1
"293",32,446,391,2
"294",32,16,447,2
"295",32,388,447,3
"296",32,446,17,3
"297",33,92,77,1
"298",33,80,89,1
"299",33,518,525,1
"300",33,532,521,1
"301",33,80,525,2
"302",33,518,77,2
"303",33,92,521,2
"304",33,532,89,2
"305",33,80,521,3
"306",33,518,89,3
"307",33,92,525,3
"308",33,532,77,3
"309",34,540,443,1
"310",34,442,535,1
"311",34,526,455,1
"312",34,454,531,1
"313",34,442,455,2
"314",34,526,443,2
"315",34,540,531,2
"316",34,454,535,2
"317",34,442,531,3
"318",34,526,535,3
"319",34,540,455,3
"320",34,454,443,3
"321",35,452,419,1
"322",35,418,449,1
"323",35,438,445,1
"324",35,448,439,1
"325",35,418,445,2
"326",35,438,419,2
"327",35,452,439,2
"328",35,448,449,2
"329",35,418,439,3
"330",35,438,449,3
"331",35,452,445,3
"332",35,448,419,3
"333",36,444,435,1
"334",36,434,441,1
"335",36,434,437,2
"336",36,440,441,2
"337",36,444,437,3
"338",36,440,435,3
"339",37,456,15,1
"340",37,18,453,1
"341",37,450,15,2
"342",37,456,451,2
"343",37,450,453,3
"344",37,18,451,3
"345",38,38,33,1
"346",38,36,39,1
"347",38,631,465,1
"348",38,468,629,1
"349",38,36,465,2
"350",38,631,33,2
"351",38,38,629,2
"352",38,468,39,2
"353",38,36,629,3
"354",38,631,39,3
"355",38,38,465,3
"356",38,468,33,3
"357",39,466,469,1
"358",39,472,467,1
"359",39,476,467,2
"360",39,472,473,2
"361",39,466,473,3
"362",39,476,469,3
"363",40,482,51,1
"364",40,50,483,1
"365",40,470,463,1
"366",40,462,471,1
"367",40,50,463,2
"368",40,470,51,2
"369",40,482,471,2
"370",40,462,483,2
"371",40,50,471,3
"372",40,470,483,3
"373",40,482,463,3
"374",40,462,51,3
"375",41,478,481,1
"376",41,484,479,1
"377",41,44,29,1
"378",41,32,41,1
"379",41,484,29,2
"380",41,44,481,2
"381",41,478,41,2
"382",41,32,479,2
"383",41,484,41,3
"384",41,44,479,3
"385",41,478,29,3
"386",41,32,481,3
"387",42,46,43,1
"388",42,42,47,1
"389",42,474,43,2
"390",42,46,475,2
"391",42,474,47,3
"392",42,42,475,3
"393",43,490,477,1
"394",43,480,491,1
"395",43,486,493,1
"396",43,496,487,1
"397",43,480,493,2
"398",43,486,477,2
"399",43,490,487,2
"400",43,496,491,2
"401",43,480,487,3
"402",43,486,491,3
"403",43,490,493,3
"404",43,496,477,3
"405",44,67,45,1
"406",44,48,65,1
"407",44,60,485,1
"408",44,488,57,1
"409",44,48,485,2
"410",44,60,45,2
"411",44,67,57,2
"412",44,488,65,2
"413",44,48,57,3
"414",44,60,65,3
"415",44,67,485,3
"416",44,488,45,3
"417",45,110,37,1
"418",45,40,111,1
"419",45,108,59,1
"420",45,58,105,1
"421",45,40,59,2
"422",45,108,37,2
"423",45,110,105,2
"424",45,58,111,2
"425",45,40,105,3
"426",45,108,111,3
"427",45,110,59,3
"428",45,58,37,3
"429",46,118,547,1
"430",46,544,119,1
"431",46,116,549,1
"432",46,554,113,1
"433",46,544,549,2
"434",46,116,547,2
"435",46,118,113,2
"436",46,554,119,2
"437",46,544,113,3
"438",46,116,119,3
"439",46,118,549,3
"440",46,554,547,3
"441",47,558,85,1
"442",47,82,559,1
"443",47,126,115,1
"444",47,114,127,1
"445",47,82,115,2
"446",47,126,85,2
"447",47,558,127,2
"448",47,114,559,2
"449",47,82,127,3
"450",47,126,559,3
"451",47,558,115,3
"452",47,114,85,3
"453",48,122,125,1
"454",48,128,123,1
"455",48,84,123,2
"456",48,128,87,2
"457",48,122,87,3
"458",48,84,125,3
"459",49,576,171,1
"460",49,176,573,1
"461",49,176,121,2
"462",49,124,573,2
"463",49,576,121,3
"464",49,124,171,3
"465",50,172,163,1
"466",50,168,175,1
"467",50,168,513,2
"468",50,516,175,2
"469",50,172,513,3
"470",50,516,163,3
"471",51,266,461,2
"472",51,464,365,3
"473",52,264,265,1
"474",52,366,369,1
"475",52,30,265,2
"476",52,264,31,2
"477",52,366,31,3
"478",52,30,369,3
"479",53,258,263,1
"480",53,370,381,1
"481",53,460,263,2
"482",53,258,457,2
"483",53,370,457,3
"484",53,460,381,3
"485",54,256,257,1
"486",54,382,385,1
"487",55,498,489,1
"488",55,492,499,1
"489",55,66,489,2
"490",55,498,68,2
"491",55,492,68,3
"492",55,66,499,3
"493",56,550,107,1
"494",56,106,553,1
"495",57,548,539,1
"496",57,536,543,1
"497",58,78,507,1
"498",58,506,79,1
"499",59,502,509,1
"500",59,512,503,1
"501",60,234,341,1
"502",60,340,235,1
"503",61,218,641,1
"504",61,644,215,1
"505",61,644,605,2
"506",61,604,215,2
"507",61,218,605,3
"508",61,604,641,3
"509",62,646,645,1
"510",62,647,648,1
"511",62,630,648,2
"512",62,647,632,2
"513",62,646,632,3
"514",62,630,645,3
