LINK_ID,F_NODE,T_NODE,ROAD_USE,LANES,MAX_SPD,x0,y0,x1,y1,Length,NumCell,CellLen
1240008402,1240010600,1240016300,0,2,60,213098.4721,547586.181,213473.5303,548751.839,1224.563298,3,70
1240010902,1240003300,1240016300,0,3,60,213541.9256,548990.2,213462.0863,548755.4488,247.9934595,3,70
1240041900,1240017600,1240018000,0,2,40,210992.8403,549097.0188,209903.5168,549523.3694,629.1957706,3,70
1240011002,1240016300,1240003300,0,3,60,213473.511,548751.778,213553.2157,548986.134,247.5759012,3,70
1240012300,1240019300,1240003300,0,3,60,213776.0885,549648.4899,213541.8786,548990.0644,699.4839457,3,70
1240012400,1240003300,1240019300,0,3,60,213553.2628,548986.2696,213787.6308,549645.2072,700.0211607,3,70
1240001404,1230057500,1230057900,0,5,60,210861.0436,548829.1278,209809.5846,549312.6348,1168.933002,3,70
1240000903,1230057000,1240016400,0,5,60,210905.3566,548796.6879,210979.5606,548768.7697,79.28203372,3,70
1240001003,1240016500,1230057000,0,5,60,210958.8187,548787.9001,210910.1579,548807.6855,52.52929984,3,70
1240001301,1230057100,1230057000,0,5,100,210855.5694,548818.4239,210905.3566,548796.6879,54.3250433,3,70
1240011101,1240017000,1230057000,0,3,60,210914.9487,548853.3568,210901.9528,548803.706,51.32336345,3,70
1240009702,1230057000,1230056700,0,3,60,210901.9528,548803.706,210888.3842,548752.3911,53.0784102,3,70
1240011201,1230057000,1240016900,0,3,60,210913.5617,548800.6674,210925.8352,548847.5582,48.47039329,3,70
1240009802,1230056800,1230057000,0,4,60,210898.4221,548743.411,210913.5617,548800.6674,59.2240876,3,70
1240005600,1240008800,1240009700,0,2,60,212951.2229,547130.5419,213032.4675,547383.6299,265.8080642,3,70
1240005502,1240009700,1240008800,0,2,60,213021.0418,547387.2977,212939.7972,547134.2097,265.8080652,3,70
1240008401,1240009700,1240010600,0,2,60,213032.4594,547383.6048,213098.4558,547586.1302,213.0067409,3,70
1240008301,1240010600,1240009700,0,2,60,213087.0463,547589.8482,213021.0499,547387.3228,213.0067416,3,70
1240032300,1240010400,1240009400,0,1,30,212541.7158,547548.5896,212476.2775,547331.1324,227.15836,3,70
1240032200,1240009400,1240010400,0,1,30,212487.7381,547327.5751,212553.4207,547545.9448,228.1037335,3,70
1240001405,1230057000,1240032600,0,5,100,210910.1579,548807.6855,210861.0436,548829.1278,53.59084127,3,70
1230037501,1230056400,1230011000,0,1,30,210155.9062,548394.7342,209961.2629,548464.4675,206.7574428,3,70
1230037401,1230011000,1230056400,0,1,30,209957.2157,548453.1706,210151.859,548383.4373,206.757443,3,70
1240001001,1240015900,1240016100,0,5,60,211185.3535,548704.9106,210958.8187,548787.9001,241.4687719,3,70
1240060200,1240001400,1240022400,1,4,30,211046.3692,550595.1164,211015.0562,550490.4454,109.5824571,3,70
1240060100,1240022400,1240021800,1,3,50,211015.2164,550491.1365,210945.5312,550249.4533,251.539643,3,70
1240060000,1240021800,1240020500,0,1,50,210945.3392,550248.3602,210860.4456,549924.9582,334.7925111,3,70
1240059900,1240020500,1240004200,0,1,50,210860.5324,549925.2617,210768.8955,549624.2167,314.6872948,3,70
1230037503,1230056100,1230056200,0,1,30,210737.3487,548184.8121,210155.9128,548394.7319,618.2451364,3,70
1230036800,1230056100,1230055200,0,3,60,210729.556,548180.802,210654.5068,547916.5621,274.6905434,3,70
1230036900,1230055200,1230056100,0,3,60,210666.0502,547913.2835,210741.0994,548177.5234,274.6905426,3,70
1230036601,1240012200,1240012800,0,1,40,210705.7921,547902.4628,210848.4244,548137.9782,275.3399397,3,70
1230036701,1240012800,1240012200,0,1,40,210838.1314,548144.1471,210695.5424,547908.7032,275.3399745,3,70
1240009100,1230056100,1240013000,0,1,30,210733.3308,548173.5048,210841.281,548135.4047,114.4763099,3,70
1240009200,1240013000,1230056100,0,1,30,210845.2748,548146.7206,210737.3246,548184.8207,114.4763098,3,70
1240007906,1240013000,1240012900,0,1,40,210841.2418,548135.4187,210966.6545,548090.1749,133.3240204,3,70
1240008006,1240012900,1240013000,0,1,40,210970.7268,548101.4628,210845.314,548146.7066,133.3241143,3,70
1240007905,1240012900,1240012700,0,1,40,210966.6981,548090.1593,211228.7043,547998.3443,277.6317108,3,70
1240008005,1240012700,1240012900,0,1,40,211232.4349,548009.7497,210970.6832,548101.4783,277.6318048,3,70
1240034900,1240011900,1240011100,0,1,60,211207.667,548011.5107,210997.5685,547753.0495,374.7980456,3,70
1240034800,1240011100,1240011900,0,1,60,211007.9573,547747.0435,211219.0886,548007.8299,379.0539274,3,70
1240033200,1240010500,1240010800,0,1,30,211340.1284,547557.7309,211480.0597,547918.2144,386.693009,3,70
1240033300,1240010800,1240010500,0,1,30,211468.8617,547922.5277,211328.9737,547562.1551,386.6928805,3,70
1240007102,1240002900,1240010700,0,1,60,211646.5164,547860.4662,211545.2425,547595.0225,284.1064822,3,70
